Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
T03D8.6	WBGene00011393	T03D8.6	Live	T03D8.6	CELE_T03D8.6	T03D8.6a,T03D8.6b,T03D8.6:wp130,T03D8.6b,T03D8.6a	CE37271,CE42896	B5BM47,Q9XTY7	TF313608	NM_001136433.2,NM_075616.6	NP_508017.2,NP_001129905.1	N.A.	basement membrane gap expansion variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,germline precursor cell,hypodermis,male-specific	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	T03D8.6	N.A.	ENSG00000100121|ParaSite-Compara,ENSG00000099998|ParaSite-Compara;Panther,ENSG00000274252|ParaSite-Compara,ENSG00000133475|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000100031|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000149435|ParaSite-Compara,ENSG00000131067|Panther,ENSG00000167741|Panther	Automated_description	T03D8.6 is an ortholog of human GGT5 (gamma-glutamyltransferase 5), GGT2 (gamma-glutamyltransferase 2) and GGT1 (gamma-glutamyltransferase 1); T03D8.6 is predicted to have gamma-glutamyltransferase activity, based on protein domain information.
M03B6.3	WBGene00010835	M03B6.3	Live	M03B6.3	CELE_M03B6.3	M03B6.3,M03B6.3	CE23873	G5EGM4	N.A.	NM_077909.4	NP_510310.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	hypodermis,intestine	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	M03B6.3	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that M03B6.3 is regulated by Methylmercury hydroxide, Methylmercuric chloride, D-glucose, Resveratrol, Chlorpyrifos, Quercetin, Colistin, Dafa#1, adsorbable organic bromine compounds, and Sirolimus; tiling array and microarray studies indicate that M03B6.3 is enriched in the hypodermis and intestine.
lam-3	WBGene00002248	lam-3	Live	T22A3.8	lama1\/2,CELE_T22A3.8	T22A3.8,T22A3.8:wp80,T22A3.8	CE31067	G5ECE3	TF335359	NM_060374.4	NP_492775.2	body wall muscle development variant,cell migration variant,early larval lethal,embryonic development variant,embryonic lethal,larval arrest,locomotion variant,organism development variant,organism morphology variant,small	egg laying defective,embryonic lethal,hypoxia hypersensitive,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	excretory canal,hypodermis,intestine,mc1,mc2,mc3,muscle cell,nerve ring,pharyngeal muscle cell,pharyngeal-intestinal valve,pharynx,pm3,pm4,pm5,pm6,pm7,pm8,spermatheca,ventral nerve cord	germ line,gon_male_dtc anterior,gon_male_dtc posterior,hypodermis,intestine,OLL,pharynx,PVD,Z1,Z1.p,Z4,Z4.a	adult Ce,elongating embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,4-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	lam-3	dilated cardiomyopathy 1JJ|Based on Sequence|DOID:0110438|ENSEMBL:ENSG00000112769|OMIM:615235	ENSG00000112769|ParaSite-Compara,ENSG00000196569|Inparanoid_8;Panther,ENSG00000101680|Inparanoid_8;Panther	Concise_description	lam-3 encodes one of two C. elegans a laminin A subunits and is orthologous to human laminin alpha2; LAM-3 is a basement membrane component required for normal tissue development, including pharyngeal development; lam-3 is expressed in the pharynx and hypodermis, and also weakly in the intestine.
calu-1	WBGene00019760	calu-1	Live	M03F4.7	CELE_M03F4.7	M03F4.7a,M03F4.7b,M03F4.7b.1,M03F4.7b.2,M03F4.7a.1,M03F4.7a.2	CE12368,CE34060	H2L0I1,G5EBH7	N.A.	NM_001029635.5,NM_001029636.2	NP_001024807.1,NP_001024806.1	chromosome segregation variant,clear,cleavage furrow initiation defective early emb,egg laying event infrequent,frequency body bend reduced,intestinal contractions variant,larval arrest,larval lethal,locomotion variant,long defecation cycle,molt defect,pharyngeal pumping reduced,reduced brood size,short,shortened life span	age associated fluorescence increased,embryonic lethal,germ cell morphology variant,lethal,maternal sterile,organism morphology variant,peptide uptake by intestinal cell variant,postembryonic development variant,reduced brood size,Variant	alae morphology variant,annulae morphology variant,body bend variant,dumpy,egg laying irregular,exploded through vulva,locomotion variant,long defecation cycle,molt defect,mRNA expression variant,pharyngeal pumping reduced,protein expression variant,reduced brood size	lethal	body wall musculature,hypodermis,intestine,pharynx,rectal epithelium,reproductive system,tail,vulva	body wall musculature,germ line,intestine,male-specific,pharynx	adult Ce,larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce,oocyte-laying stage adult hermaphrodite Ce	calu-1	N.A.	ENSG00000128595|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000142552|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000049449|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000117906|Panther	Automated_description	calu-1 is an ortholog of human CALU (calumenin), RCN3 (reticulocalbin 3) and RCN1 (reticulocalbin 1); calu-1 is involved in body morphogenesis, cuticle development, determination of adult lifespan, locomotion, the molting cycle and nematode larval development; calu-1 is predicted to have calcium ion binding activity, based on protein domain information; calu-1 is expressed in the pharynx, hypodermis, tail, reproductive system, intestine, and the body wall musculature; calu-1 is localized to the endoplasmic reticulum.
M153.2	WBGene00010925	M153.2	Live	M153.2	CELE_M153.2	M153.2,M153.2:wp124,M153.2	CE36657	Q21545	TF315284	NM_077632.2	NP_510033.2	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine,pharyngeal muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	M153.2	N.A.	ENSG00000092931|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	M153.2 is an ortholog of human MFSD11 (major facilitator superfamily domain containing 11); microarray and RNA sequencing studies indicate that M153.2 is regulated by clk-1, htz-1, daf-16, npr-1, jmjd-3.1, jmjd-1.2, hsf-1, rbr-2, skn-1, and sir-2.1; microarray and RNA sequencing studies indicate that M153.2 is regulated by Aldicarb, Rotenone, and D-glucose; tiling array studies indicate that M153.2 is enriched in the intestine and pharyngeal muscle cell.
lron-8	WBGene00020693	lron-8	Live	T22E7.1	CELE_T22E7.1	T22E7.1a,T22E7.1b,T22E7.1b,T22E7.1a	CE31368,CE33189	Q86S81,Q9N5D7	TF351922	NM_170869.5,NM_059275.5	NP_491676.2,NP_740857.2	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	body wall musculature,head muscle,hypodermis,pharynx,rectal gland cell	body wall muscle cell,body wall musculature,germ line,hypodermis	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	lron-8	N.A.	ENSG00000186907|Inparanoid_8,ENSG00000185924|Inparanoid_8,ENSG00000040608|Inparanoid_8,ENSG00000168140|Inparanoid_8,ENSG00000188937|Inparanoid_8,ENSG00000148948|Inparanoid_8,ENSG00000178732|Panther,ENSG00000186105|Panther,ENSG00000239732|Panther,ENSG00000173366|Panther,ENSG00000128011|Panther,ENSG00000083782|Panther,ENSG00000126243|Panther,ENSG00000165379|Panther,ENSG00000126861|Panther,ENSG00000156564|Panther,ENSG00000183908|Panther,ENSG00000173621|Panther,ENSG00000106809|Panther,ENSG00000162494|Panther,ENSG00000175928|Panther,ENSG00000173114|Panther,ENSG00000170382|Panther,ENSG00000169783|Panther,ENSG00000174482|Panther,ENSG00000220008|Panther	Automated_description	lron-8 is an ortholog of human GP5 (glycoprotein V platelet), TLR9 (toll like receptor 9), RTN4RL2 (reticulon 4 receptor-like 2), RTN4RL1 (reticulon 4 receptor like 1), RTN4R (reticulon 4 receptor), VASN (vasorin), NYX (nyctalopin), LRRC70 (leucine rich repeat containing 70), RP11-330H6.5 and OMG (oligodendrocyte myelin glycoprotein) and members of the I-set domain containing family including LRRC4C and Small leucine rich repeat proteoglycans family including EPYC; lron-8 is expressed in the pharynx, hypodermis, rectal gland cell, and the body wall musculature.
irg-3	WBGene00018760	irg-3	Live	F53E10.4	CELE_F53E10.4	F53E10.4a,F53E10.4b,F53E10.4c,F53E10.4a,F53E10.4b,F53E10.4c	CE10926,CE51048,CE51087	A0A0M7REP5,A0A0M7RF66,P91316	N.A.	NM_001316805.1,NM_071310.4,NM_001316806.1	NP_503711.1,NP_001303735.1,NP_001303734.1	N.A.	embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	N.A.	N.A.	intestine,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,4-cell embryo Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,9-days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce,larva Ce	irg-3	N.A.	N.A.	Automated_description	irg-3 is involved in innate immune response.
Y55F3BR.2	WBGene00021939	Y55F3BR.2	Live	Y55F3BR.2	Y55F3BR.j,Y55F3BR.j,Y55F3BR.k,Y55F3BR.k,CELE_Y55F3BR.2	Y55F3BR.2a,Y55F3BR.2b,Y55F3BR.2c,Y55F3BR.2:wp131,Y55F3BR.2:wp239,Y55F3BR.2a:wp175,Y55F3BR.2b:wp134,Y55F3BR.2b:wp175,Y55F3BR.2a,Y55F3BR.2b,Y55F3BR.2c	CE48501,CE49028,CE48892	U4PRM5,U4PMC3,U4PER8	N.A.	NM_001307531.1,NM_001307529.1,NM_001307530.1	NP_001294460.1,NP_001294459.1,NP_001294458.1	embryonic lethal	adult lethal,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,transgene expression reduced,Variant	N.A.	N.A.	N.A.	germ line,hermaphrodite-specific	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	Y55F3BR.2	N.A.	ENSG00000105825|Panther	Automated_description	Y55F3BR.2 is an ortholog of human TFPI2 (tissue factor pathway inhibitor 2); Y55F3BR.2 is involved in embryo development; Y55F3BR.2 is predicted to have serine-type endopeptidase inhibitor activity, based on protein domain information.
aqp-11	WBGene00000179	aqp-11	Live	ZK525.2	CELE_ZK525.2	ZK525.2,ZK525.2:wp99,ZK525.2	CE33909	O46024	TF320251	NM_067420.5	NP_499821.2	N.A.	embryonic development variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	coelomocyte,germ line,intestine,muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	aqp-11	N.A.	ENSG00000178301|Panther,ENSG00000185176|Panther,ENSG00000184945|Panther	Concise_description	aqp-11 encodes a putative aquaporin with no function in mass RNAi  assays, perhaps reflecting genetic redundancy with its paralogs AQP-9  and AQP-10; AQP-11 is orthologous to Drosophila CG12251 and human AQP11  (OMIM:609914), AQP12A (OMIM:609789), and AQP12B.
F53F1.2	WBGene00009980	F53F1.2	Live	F53F1.2	CELE_F53F1.2	F53F1.2,F53F1.2	CE10934	P91997	TF315922	NM_073921.5	NP_506322.1	larval lethal,locomotion variant,paralyzed,protein aggregation variant,short defecation cycle,slow growth	embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	N.A.	N.A.	germ line,hypodermis,intestine,male-specific	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce,oocyte-laying stage adult hermaphrodite Ce	F53F1.2	N.A.	ENSG00000165568|Panther,ENSG00000227471|Panther,ENSG00000198074|Panther	Automated_description	F53F1.2 is an ortholog of human AKR1E2 (aldo-keto reductase family 1 member E2), AKR1B15 (aldo-keto reductase family 1 member B15) and AKR1B10 (aldo-keto reductase family 1 member B10); F53F1.2 is involved in locomotion and nematode larval development; F53F1.2 is predicted to have oxidoreductase activity, based on protein domain information.
C34E11.15	WBGene00199820	C34E11.15	Live	C34E11.15	CELE_C34E11.15	C34E11.15	N.A.	N.A.	N.A.	NR_072193.1	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	C34E11.15	N.A.	N.A.	N.A.	N.A.
F53F1.3	WBGene00009981	F53F1.3	Live	F53F1.3	CELE_F53F1.3	F53F1.3,F53F1.3	CE10936	P91998	TF315922	NM_073922.4	NP_506323.1	N.A.	defecation cycle variable length,embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine,muscle cell,OLL,PVD	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	F53F1.3	N.A.	ENSG00000165568|Panther,ENSG00000227471|Panther,ENSG00000198074|Panther	Automated_description	F53F1.3 is an ortholog of human AKR1E2 (aldo-keto reductase family 1 member E2), AKR1B15 (aldo-keto reductase family 1 member B15) and AKR1B10 (aldo-keto reductase family 1 member B10); F53F1.3 is predicted to have oxidoreductase activity, based on protein domain information.
ugt-60	WBGene00007402	ugt-60	Live	C07A9.6	CELE_C07A9.6	C07A9.6,C07A9.6:wp17,C07A9.6a:wp100,C07A9.6b:wp100,C07A9.6	CE33970	P34317	N.A.	NM_001025987.3	NP_001021158.1	N.A.	lethal,postembryonic development variant,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	ugt-60	N.A.	ENSG00000168671|ParaSite-Compara,ENSG00000145626|ParaSite-Compara	Automated_description	ugt-60 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-60 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information.
C35C5.10	WBGene00007959	C35C5.10	Live	C35C5.10	CELE_C35C5.10	C35C5.10a,C35C5.10b,C35C5.10b,C35C5.10a.1,C35C5.10a.2	CE34739,CE41304	Q7YTQ9,A6ZJ73	TF324458	NM_001029274.4,NM_001129643.3	NP_001123115.1,NP_001024445.1	N.A.	N.A.	lethal,sterile	N.A.	N.A.	BAG,DA neuron,germ line,neuron,VA neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C35C5.10	N.A.	ENSG00000157600|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	C35C5.10 is an ortholog of human TMEM164 (transmembrane protein 164); C35C5.10 is involved in reproduction.
bus-18	WBGene00044631	bus-18	Live	F55A11.5	acl-10,CELE_F55A11.5	F55A11.5,F55A11.5:wp152,F55A11.5	CE39507	Q20800	TF314346	NM_073570.3	NP_505971.2	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	bacterially unswollen,bleach hypersensitive,colchicine hypersensitive,cuticle carbohydrate surface variant,cuticle fragile,drug hypersensitive,emetine hypersensitive,exploded through vulva,male mating efficiency reduced,organism hypersensitive desiccation,pathogen adherence variant,pathogen resistance increased,skiddy,slow growth,small	biofilm absent head,lethal	AIYL,AIYR,arcade cell,excretory gland cell,hyp7 syncytium,hypodermis,labial sensillum,phasmid sheath cell,phasmid socket cell,rectal epithelial cell,seam cell,spermatheca,vulva	N.A.	N.A.	N.A.	bus-18	N.A.	ENSG00000172954|ParaSite-Compara;Panther	Concise_description	bus-18 encodes a lysocardiolipin acyltransferase; bus-18 is required for colonization by Microbacterium nematophilum and the tail-swelling response to M. nematophilum  infection, as well as for cuticle integrity, traction during movement,  full body size, normally rapid growth, and vulval morphogenesis; bus-18  is also needed for normal cuticle antigens and resistance to emetine or  colchicine, perhaps because its cuticle is abnormally permeable.
ncx-7	WBGene00003572	ncx-7	Live	C07A9.11	CELE_C07A9.11	C07A9.11,C07A9.11:wp100,C07A9.11:wp151,C07A9.11	CE39219	P34322	TF323444	NM_066746.6	NP_499147.3	N.A.	embryonic development variant,embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	ADLL,ADLR,amphid neuron,intestine,tail neuron	germ line,intestine,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	ncx-7	N.A.	ENSG00000089060|ParaSite-Compara;Inparanoid_8;Panther	Concise_description	ncx-7 encodes a putative Na[+]/Ca[2+] exchanger of uncertain  stoichiometry and affinity, orthologous to human SLC24A6 and paralogous  to NCX-6 and NCX-8/-10; NCX-7 may function intracellularly; NCX-7 has  tandem Calx-alpha domains predicted to carry out ion transport; NCX-7  has no obvious function in mass RNAi assays.
R03E9.2	WBGene00019843	R03E9.2	Live	R03E9.2	CELE_R03E9.2	R03E9.2,R03E9.2:wp187,R03E9.2:wp230,R03E9.2	CE47096	Q21662	N.A.	NM_076734.4	NP_509135.3	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	body wall muscle cell,germ line,muscle cell,NSM,OLL,PVD	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	R03E9.2	N.A.	ENSG00000115275|Panther	Automated_description	R03E9.2 is an ortholog of human MOGS (mannosyl-oligosaccharide glucosidase); microarray, tiling array, proteomic, and RNA sequencing studies indicate that R03E9.2 is regulated by cyc-1, daf-12, gld-1, let-7, emr-1, lem-2, bar-1, clk-1, tdp-1, jmjd-3.1, ahr-1, mir-243, crh-1, tax-6, and nuo-6; RNA sequencing and microarray studies indicate that R03E9.2 is regulated by 1-methylnicotinamide, Rotenone, Bisphenol S, Resveratrol, Quercetin, Dafa#1, and Allantoin; microarray, tiling array, and RNA sequencing studies indicate that R03E9.2 is enriched in the body wall muscle cell, germ line, and muscle cell and in the PVD, OLL, and NSM neurons.
F54E2.1	WBGene00018823	F54E2.1	Live	F54E2.1	CELE_F54E2.1	F54E2.1,F54E2.1	CE30806	Q9TXK1	TF315857	NM_071360.7	NP_503761.2	reduced brood size	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	cephalic sheath cell,germ line,intestine,muscle cell,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	F54E2.1	N.A.	N.A.	Automated_description	F54E2.1 is localized to the membrane raft.
abts-4	WBGene00019844	abts-4	Live	R03E9.3	CELE_R03E9.3	R03E9.3a,R03E9.3b,R03E9.3c,R03E9.3d,R03E9.3:wp128,R03E9.3a:wp146,R03E9.3b:wp146,R03E9.3d,R03E9.3b,R03E9.3a,R03E9.3c	CE38971,CE38972,CE41832,CE41833	Q45EK3,H2L0C4,Q58G79,Q58QG8	N.A.	NM_001129698.2,NM_001029656.4,NM_001129697.2,NM_001029655.5	NP_001123169.1,NP_001024827.2,NP_001024826.2,NP_001123170.1	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	head neuron,intestine,nervous system,tail neuron	coelomocyte,germ line,gon_male_dtc anterior,gon_male_dtc posterior,intestine,OLL,PVD,Z1.p,Z4.a	adult Ce,larva Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	abts-4	hereditary spherocytosis|Based on Sequence|DOID:12971|ENSEMBL:ENSG00000004939|OMIM:612653	ENSG00000004939|ParaSite-Compara;Panther,ENSG00000114923|ParaSite-Compara;Panther,ENSG00000164889|ParaSite-Compara;Panther,ENSG00000050438|Panther,ENSG00000113073|Panther,ENSG00000080493|Panther,ENSG00000188687|Panther,ENSG00000033867|Panther,ENSG00000144290|Panther	Concise_description	abts-4 encodes an anion transporter; ABTS-4::GFP fusion proteins are expressed solely in the intestine, with highest levels seen in the most anterior and posterior gut cells and subcellular localization restricted to the basolateral membrane.
nid-1	WBGene00003738	nid-1	Live	F54F3.1	CELE_F54F3.1	F54F3.1a,F54F3.1b,F54F3.1c,F54F3.1b,F54F3.1c,F54F3.1a	CE18731,CE44075,CE44038	Q93791,C7FZU4,C7FZU3	TF320666	NM_001269538.1,NM_001269536.1,NM_001269537.1	NP_001256467.1,NP_001256466.1,NP_001256465.1	dorsal nerve cord development variant,neuron migration variant,organism development variant,ventral nerve cord development variant	embryonic lethal,larval arrest,larval lethal,linker cell migration variant,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	memory retention defective,pharyngeal morphology variant,pharynx unattached,synapse morphology variant	N.A.	ALML,ALMR,anal depressor muscle,basal lamina,body wall musculature,CEPDL,CEPDR,CEPVL,CEPVR,gonad,gon_herm_dtc_A,gon_herm_dtc_P,HSNL,HSNR,inner labial sensillum,intestine,mu_int_L,mu_int_R,nerve ring,outer labial sensillum,pharynx,PLML,PLMR,spermatheca,uterus,ventral nerve cord,vulA,vulB1,vulB2,vulC,vulD,vulE,vulF	germ line,pharynx,Z4.aapppap (5L) nucleus	1.5-fold embryo Ce,2-fold embryo Ce,3-fold embryo Ce,all stages Ce,bean embryo Ce,comma embryo Ce,fully-elongated embryo Ce,postembryonic Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce	nid-1	N.A.	ENSG00000070018|ParaSite-Compara,ENSG00000087303|Inparanoid_8,ENSG00000116962|Inparanoid_8,ENSG00000130881|Panther,ENSG00000147650|Panther,ENSG00000197324|Panther,ENSG00000147852|Panther,ENSG00000157193|Panther,ENSG00000130164|Panther	Concise_description	nid-1 encodes the single C.elegans homolog of the nidogen (entactin) protein; members of the nidogen protein family are structural components of basement membranes and are believed to connect laminin and collagen IV networks together; in C. elegans, nid-1 is not required for basement membrane assembly, however, nid-1 is required for the proper positioning of the longitudinal neurons and to direct axons during migration; nid-1 is also required for synaptogenesis and for normal cholinergic synaptic transmission; nid-1 is expressed in body wall muscle, the PLM neurons, intestinal cells and the distal tip cell and is localized to basement membranes and presynaptic zones.
